candidates=[DeviceInfo { port_name: "COM4", vid_pid: Some("1A86:FE0C"), product: Some("USB 串行设备 (COM4)"), serial: Some("0123456789") }]
port=COM4
images=38 pages=3800
handshake=ok
progress=0 page=1/3800
progress=1 page=38/3800
progress=2 page=76/3800
progress=3 page=114/3800
progress=4 page=152/3800
progress=5 page=190/3800
progress=6 page=228/3800
progress=7 page=266/3800
progress=8 page=304/3800
progress=9 page=342/3800
progress=10 page=380/3800
progress=11 page=418/3800
progress=12 page=456/3800
progress=13 page=494/3800
progress=14 page=532/3800
progress=15 page=570/3800
progress=16 page=608/3800
progress=17 page=646/3800
progress=18 page=684/3800
progress=19 page=722/3800
progress=20 page=760/3800
progress=21 page=798/3800
progress=22 page=836/3800
progress=23 page=874/3800
progress=24 page=912/3800
progress=25 page=950/3800
progress=26 page=988/3800
progress=27 page=1026/3800
progress=28 page=1064/3800
progress=29 page=1102/3800
progress=30 page=1140/3800
progress=31 page=1178/3800
progress=32 page=1216/3800
progress=33 page=1254/3800
progress=34 page=1292/3800
progress=35 page=1330/3800
progress=36 page=1368/3800
progress=37 page=1406/3800
progress=38 page=1444/3800
progress=39 page=1482/3800
progress=40 page=1520/3800
progress=41 page=1558/3800
progress=42 page=1596/3800
progress=43 page=1634/3800
progress=44 page=1672/3800
progress=45 page=1710/3800
progress=46 page=1748/3800
progress=47 page=1786/3800
progress=48 page=1824/3800
progress=49 page=1862/3800
progress=50 page=1900/3800
progress=51 page=1938/3800
progress=52 page=1976/3800
progress=53 page=2014/3800
progress=54 page=2052/3800
progress=55 page=2090/3800
progress=56 page=2128/3800
progress=57 page=2166/3800
progress=58 page=2204/3800
progress=59 page=2242/3800
progress=60 page=2280/3800
progress=61 page=2318/3800
progress=62 page=2356/3800
progress=63 page=2394/3800
progress=64 page=2432/3800
progress=65 page=2470/3800
progress=66 page=2508/3800
progress=67 page=2546/3800
progress=68 page=2584/3800
progress=69 page=2622/3800
progress=70 page=2660/3800
progress=71 page=2698/3800
progress=72 page=2736/3800
progress=73 page=2774/3800
progress=74 page=2812/3800
progress=75 page=2850/3800
progress=76 page=2888/3800
progress=77 page=2926/3800
progress=78 page=2964/3800
progress=79 page=3002/3800
progress=80 page=3040/3800
progress=81 page=3078/3800
progress=82 page=3116/3800
progress=83 page=3154/3800
progress=84 page=3192/3800
progress=85 page=3230/3800
progress=86 page=3268/3800
progress=87 page=3306/3800
progress=88 page=3344/3800
progress=89 page=3382/3800
progress=90 page=3420/3800
progress=91 page=3458/3800
progress=92 page=3496/3800
progress=93 page=3534/3800
progress=94 page=3572/3800
progress=95 page=3610/3800
progress=96 page=3648/3800
progress=97 page=3686/3800
progress=98 page=3724/3800
progress=99 page=3762/3800
progress=100 page=3800/3800
DONE
